		1.0	2.0	3.0	4.0
T1_Sat7	%	(0.0528169014084507, 0.15845070422535212, 0.2887323943661972, 0.29225352112676056, 0.20774647887323944)	(0.02466367713004484, 0.11210762331838565, 0.30493273542600896, 0.3430493273542601, 0.21524663677130046)	(0.026058631921824105, 0.10260586319218241, 0.28013029315960913, 0.3322475570032573, 0.25895765472312704)	(0.0205761316872428, 0.10123456790123457, 0.27325102880658436, 0.3695473251028807, 0.2353909465020576)
T1_Sat8	N	281	442	600	1202
T1_Sat8	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_Sat8	N(i)	(60, 64, 67, 56, 34)	(67, 105, 92, 103, 75)	(69, 119, 141, 156, 115)	(109, 185, 266, 380, 262)
T1_Sat8	%	(0.21352313167259787, 0.2277580071174377, 0.23843416370106763, 0.199288256227758, 0.12099644128113879)	(0.1515837104072398, 0.23755656108597284, 0.2081447963800905, 0.2330316742081448, 0.16968325791855204)	(0.115, 0.19833333333333333, 0.235, 0.26, 0.19166666666666668)	(0.09068219633943428, 0.15391014975041598, 0.22129783693843594, 0.3161397670549085, 0.21797004991680533)
T1_IPQ6	N	284	453	627	1217
T1_IPQ6	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_IPQ6	N(i)	(39, 69, 88, 66, 22)	(48, 98, 137, 136, 34)	(49, 118, 204, 202, 54)	(86, 159, 357, 470, 145)
T1_IPQ6	%	(0.13732394366197184, 0.24295774647887325, 0.30985915492957744, 0.2323943661971831, 0.07746478873239436)	(0.10596026490066225, 0.2163355408388521, 0.30242825607064017, 0.30022075055187636, 0.07505518763796909)	(0.07814992025518341, 0.18819776714513556, 0.3253588516746411, 0.32216905901116427, 0.0861244019138756)	(0.07066557107641742, 0.1306491372226787, 0.2933442892358258, 0.3861955628594905, 0.11914543960558752)
T1_IPQ3	N	283	450	622	1209
T1_IPQ3	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_IPQ3	N(i)	(15, 59, 41, 114, 54)	(37, 81, 80, 165, 87)	(54, 125, 99, 248, 96)	(136, 306, 229, 372, 166)
T1_IPQ3	%	(0.053003533568904596, 0.20848056537102475, 0.14487632508833923, 0.4028268551236749, 0.19081272084805653)	(0.08222222222222222, 0.18, 0.17777777777777778, 0.36666666666666664, 0.19333333333333333)	(0.08681672025723473, 0.20096463022508038, 0.15916398713826366, 0.3987138263665595, 0.15434083601286175)	(0.11248966087675766, 0.2531017369727047, 0.18941273779983459, 0.3076923076923077, 0.13730355665839536)
T1_IPQ4	N	286	452	625	1218
T1_IPQ4	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_IPQ4	N(i)	(37, 78, 65, 84, 22)	(63, 101, 113, 126, 49)	(96, 171, 132, 157, 69)	(222, 362, 260, 268, 106)
T1_IPQ4	%	(0.12937062937062938, 0.2727272727272727, 0.22727272727272727, 0.2937062937062937, 0.07692307692307693)	(0.13938053097345132, 0.2234513274336283, 0.25, 0.27876106194690264, 0.1084070796460177)	(0.1536, 0.2736, 0.2112, 0.2512, 0.1104)	(0.18226600985221675, 0.29720853858784896, 0.2134646962233169, 0.2200328407224959, 0.08702791461412152)
T1_IPQ5	N	286	452	629	1220
T1_IPQ5	i	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)	(1.0, 2.0, 3.0, 4.0, 5.0)
T1_IPQ5	N(i)	(36, 61, 68, 97, 24)	(61, 100, 103, 147, 41)	(91, 170, 151, 167, 50)	(207, 342, 277, 312, 82)
T1_IPQ5	%	(0.1258741258741259, 0.21328671328671328, 0.23776223776223776, 0.33916083916083917, 0.08391608391608392)	(0.13495575221238937, 0.22123893805309736, 0.22787610619469026, 0.3252212389380531, 0.09070796460176991)	(0.14467408585055644, 0.2702702702702703, 0.24006359300476948, 0.2655007949125596, 0.0794912559618442)	(0.16967213114754098, 0.28032786885245903, 0.22704918032786886, 0.25573770491803277, 0.06721311475409836)
T1_Wbelieve	N	281	451	622	1218
T1_Wbelieve	i	(0.0, 1.0)	(0.0, 1.0)	(0.0, 1.0)	(0.0, 1.0)
T1_Wbelieve	N(i)	(167, 114)	(274, 177)	(424, 198)	(867, 351)
T1_Wbelieve	%	(0.594306049822064, 0.40569395017793597)	(0.6075388026607539, 0.3924611973392461)	(0.6816720257234726, 0.3183279742765273)	(0.7118226600985221, 0.2881773399014778)
